AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
14076,-3976,-2252,27.31,11175,2989,-14987
13896,-1096,3128,27.21,-36,2240,1086
16408,-608,1800,27.21,-8674,-1607,3392
28832,-4292,5984,27.21,-21264,5838,-8416
32767,-19944,-3296,27.35,-9236,-8416,5756
8804,5564,11952,27.26,-16650,-9974,-514
2784,-6392,10996,27.26,-3296,2556,3111
-10884,-11816,-18248,27.26,-634,5783,32767
21124,1696,4228,27.26,-3365,-2357,-742
21436,7552,3772,27.31,-7099,-3312,-17295
10016,17776,2168,27.31,-4976,-155,-18926
13856,9636,-2592,27.21,-2069,1607,-4054
18536,13012,-1576,27.21,3818,-19252,7894
13396,9860,-7640,27.21,5873,-23254,12572
8424,1864,-15468,27.31,-2952,-9528,19821
7976,3092,-10540,27.31,-4715,-5818,8197
6760,4216,-9444,27.31,-4702,438,4159
8468,3916,-12632,27.26,1980,4882,5717
18584,-9560,-22968,27.31,11655,-3636,-3832
5728,-4720,-8564,27.26,8536,-4596,858
13004,-1900,-12404,27.26,-10666,242,6333
3700,-988,-10832,27.26,3738,1797,-16399
13344,-2452,-13864,27.21,-11827,1271,2250
7680,-2164,-14840,27.26,1328,-2721,6234
2116,-2768,-12840,27.21,4124,1717,4387
7008,-4276,-5680,27.31,4996,4542,-5757
11088,-3352,-3932,27.26,5955,12182,-7783
16948,-9448,1444,27.35,14983,19102,3171
18244,-8336,9100,27.31,12280,12569,5610
12520,-5712,12260,27.35,5904,-4210,-1772
19288,-1408,11036,27.26,5035,-10440,-9554
20496,1076,7524,27.31,-8399,-7493,-388
24040,-15804,4364,27.31,-620,-757,24396
18976,-4608,11536,27.17,23278,-15809,8338
10848,-8964,4460,27.26,11808,-4680,653
16316,-9136,5236,27.31,-31009,-1600,16761
16452,-3636,10356,27.35,-224,-16443,-21937
17916,-6084,2768,27.31,-16264,-15288,13380
15376,152,3148,27.35,-10640,1099,5610
12764,-5284,6020,27.26,32767,32767,-2357
12316,-14124,5828,27.26,2482,-4718,617
8860,-7232,4816,27.26,5292,-1831,2612
12476,-4336,5372,27.31,6679,-2500,5100
9204,-3476,10980,27.31,-20691,-2100,-5983
16332,-4868,4840,27.26,-8784,5824,-8615
27296,3268,-556,27.21,-11224,2821,-18404
22532,-7716,10296,27.31,16337,12574,-8677
20444,-12548,-7424,27.31,-21743,2723,-4055
14848,2312,7708,27.17,-7363,-3211,5346
18076,-116,6372,27.31,-8554,6137,-6472
18872,4460,10180,27.31,-7588,-1925,-13441
18844,7656,6884,27.26,-4159,-6882,-1303
13640,1476,6240,27.31,2515,-6370,262
18172,5852,-3156,27.21,10663,-26134,7880
13716,3768,-7984,27.26,1904,-26357,2571
3328,-732,-11064,27.31,3242,-13625,32767
5808,1920,-14024,27.31,-4829,-8250,14342
708,1024,-11232,27.40,706,3357,4478
14444,10132,-17784,27.40,-543,5573,5673
10176,-752,-16844,27.21,-1822,5352,-2109
8232,1592,-13304,27.26,-1200,2575,-1875
12604,4044,-14264,27.26,1906,-7116,3082
1900,-524,-12860,27.21,8631,-1713,72
2992,-1836,-14216,27.21,6368,-2991,-6705
3136,-3972,-5108,27.35,7171,9363,-13818
12800,-5348,-1048,27.31,12499,16119,-5485
23608,-10536,2740,27.26,12476,16492,-796
15760,-10028,5084,27.26,287,11894,-180
14624,-8748,6312,27.35,763,3788,7426
16040,-7188,7460,27.35,-7157,-19,2005
15728,-7296,6260,27.31,1436,-6054,-5711
16840,-16828,5236,27.31,-4326,-7317,-10146
20132,-13532,5244,27.31,18379,-12882,9463
12996,-4132,8952,27.26,23598,-8206,-12155
12288,-11328,-920,27.35,20738,-6555,5068
16668,-5544,3992,27.35,-15815,-9076,2014
13536,-9144,1988,27.26,-4970,-7210,6816
12364,-4776,1960,27.21,-8117,4671,6270
17788,-5124,1624,27.31,19673,11328,-185
19048,-13364,1112,27.31,2729,9145,-25648
16340,-4192,7880,27.35,-3438,-13490,3068
13344,-6420,7000,27.35,4613,-1896,2928
9760,-6252,6036,27.31,5484,1583,1014
10224,-5920,3592,27.26,11958,5370,-1775
14960,-6904,4592,27.35,-20105,-85,5051
15936,-5144,5192,27.26,1522,572,-3358
14308,-10744,3764,27.26,-20820,7377,-9526
22496,-5736,6684,27.40,-6199,927,-8682
15168,2584,10572,27.26,5868,21392,-9719
12860,-16,6944,27.31,6684,14543,-32768
20100,16980,376,27.26,-15037,-32768,32767
14664,10724,7876,27.31,-5260,-1846,6723
23068,3740,7052,27.26,-2665,-2673,1988
17408,2788,13072,27.35,-6523,3125,-8165
16224,5332,10968,27.35,-7344,-4919,-9757
10736,-692,5728,27.26,-2069,-1247,2625
13032,2856,7348,27.26,-3131,-1903,-8367
17712,7132,4160,27.21,-2335,-9555,-3512
18672,9832,-2516,27.40,-938,-15189,-10296
20044,11116,-10116,27.31,2392,-22963,10447
5560,1004,-13440,27.26,244,-13077,9146
3448,3032,-9064,27.35,-2838,-4359,7928
8832,6772,-9740,27.31,-3960,3993,7019
5776,5000,-12160,27.26,46,4943,6537
14544,5672,-11760,27.35,-996,5320,2117
10948,6384,-10324,27.40,-1842,-6017,4388
11888,3048,-12912,27.40,-1503,1327,726
12524,4728,-12808,27.31,1624,-3119,-712
10544,5036,-10912,27.40,-4824,-46,286
10652,4764,-11864,27.31,-720,577,-1041
10768,4976,-13160,27.31,1303,-1396,-744
9748,10680,-10624,27.35,1111,1227,-4037
5988,9760,-10716,27.31,9012,-7620,-20
5744,3480,-14872,27.49,8900,1683,-3568
7652,3172,-9540,27.31,6523,5850,-10976
9840,-228,-3656,27.31,-52,15093,-10406
18844,1056,-1912,27.31,1711,19864,134
23172,268,4040,27.31,5157,16658,5111
17188,-1100,6668,27.35,6201,4868,7589
12096,-4416,8440,27.40,-2260,-3693,-2343
17372,-2308,6148,27.35,-2319,3327,-812
18104,1568,4212,27.45,1678,432,886
17744,-8864,10108,27.26,-2337,-7064,-6893
17684,1172,9960,27.40,32767,-13545,19216
10920,-6448,5596,27.31,31922,-9461,10363
21120,-9072,-60,27.35,-10374,3316,10903
18388,-3124,9308,27.31,-22034,-11816,-17891
8348,-5912,4844,27.40,14834,-4906,-1942
15884,-9740,4604,27.35,11552,24145,2309
19440,-6972,-100,27.45,-24712,-6320,-4663
13232,-1300,2188,27.40,12169,-3707,11111
22116,-12328,-1364,27.26,-18218,722,-2379
6444,-11920,6532,27.31,9915,-16150,-966
13504,-8900,4608,27.35,-4970,10570,4525
18296,-8028,2004,27.31,13918,13067,-7506
15920,-9072,2188,27.31,-1371,3976,-2805
16312,-10268,4096,27.35,-5427,-13289,7892
13452,-8476,4732,27.45,-2864,-11031,3695
10800,-7984,4028,27.35,975,-1344,-1671
15688,-10364,672,27.26,-4910,15281,-12392
13248,-3928,2168,27.45,9594,-2489,4574
28924,16568,11056,27.40,-32768,32767,-32768
7684,-944,12228,27.31,-12207,-14745,-18916
6128,3624,6256,27.40,10598,-9857,13454
17776,-4,12640,27.35,15693,32767,26937
15152,-2352,10088,27.40,-16097,-15761,7999
16916,-6292,10372,27.45,-7183,-13898,1575
10932,-5080,10736,27.35,-6719,8371,11454
13788,-13256,8472,27.35,-32768,13941,-28230
17096,-5888,4820,27.40,29366,-10218,-3432
11148,2916,13152,27.40,3801,4123,9178
32767,-25424,4416,27.35,-32768,-4204,32767
19340,5800,9528,27.31,-8189,5707,6233
14632,232,12052,27.45,-2934,-2270,7189
19492,-552,9760,27.40,-2304,3417,-2207
15508,868,12088,27.40,-10451,2737,-9285
16528,1912,6712,27.40,-9830,-2435,-10526
13100,4016,7612,27.35,9365,-4470,-2155
10224,9280,3640,27.40,16370,-13319,-6438
10396,9848,1572,27.40,8206,-19376,15955
17076,3988,-8360,27.40,-5963,-11973,6591
15232,3388,-12112,27.40,929,-16491,8612
7768,1536,-14336,27.45,1832,-14628,11171
3564,180,-13328,27.35,1834,-8892,11981
-404,436,-13760,27.35,-1310,-1197,9482
-1304,3784,-13384,27.40,-12264,3478,4329
5608,6328,-13456,27.40,380,22471,8533
9672,1512,-13496,27.31,339,7161,347
9676,-524,-13160,27.45,-455,-1184,3956
10800,764,-12608,27.35,1659,-2352,1934
9260,2064,-13736,27.45,-2329,521,-3092
11564,1484,-15184,27.35,3964,-11627,-3217
6064,144,-13312,27.45,13841,2074,4099
2228,-4832,-11040,27.45,12913,2944,-10263
6464,-7456,-6744,27.40,5552,5880,-14732
14864,-4176,-4592,27.49,2065,11177,-9682
21928,-5740,-2224,27.49,7800,13927,-4740
16372,-64,5192,27.40,12017,15806,-3281
14972,2064,11640,27.40,5605,5735,3613
13304,-3032,8348,27.40,-1760,1927,4459
12836,-2428,11948,27.35,-2512,4615,-877
12684,-1072,12156,27.31,-4465,2162,980
8656,-3092,9908,27.40,441,-875,1948
8016,-4244,15876,27.35,-4756,2041,1279
10600,-8260,16176,27.31,3394,-7082,-1961
16248,556,25012,27.45,11316,-3666,24633
10732,-12252,11644,27.35,24310,-11781,15890
5824,-13236,9668,27.31,32767,-15848,13374
19704,-12056,15272,27.35,-32768,6569,-13697
5324,-4344,7000,27.40,12925,-18990,4780
11492,-8124,7048,27.35,16810,20342,3364
17960,-8236,4792,27.40,-8979,12520,-15291
13408,-8860,4692,27.40,1679,-7305,4191
22976,-20884,10120,27.35,-32768,-1437,-32768
5528,-5888,5160,27.35,-16863,-21008,-3287
19152,6544,10268,27.45,-12041,3540,32467
19304,6524,-2784,27.40,-12150,9087,4098
19420,1488,-10968,27.40,7168,-4800,2819
21080,920,-1616,27.40,14328,-10416,-2896
14656,-1600,3960,27.49,13119,-3422,-16735
13700,-7192,-1448,27.49,1166,4266,-2476
21412,-1572,-9252,27.45,-12343,1521,-675
11572,17880,1500,27.40,20172,-3530,-1465
27836,-1124,2696,27.40,32767,4476,-20559
8940,-7828,5800,27.45,-25149,-32342,-4279
11612,21808,14272,27.40,-5508,16767,32479
32767,-7792,960,27.40,32767,27125,3350
13984,-2272,6960,27.49,-22944,-2935,-1983
18128,-5420,3860,27.40,26783,6496,6875
18792,-5332,5280,27.49,-12532,-14456,6936
9568,-1660,5240,27.49,-3504,-9651,-2154
10108,-4740,5868,27.45,7624,5219,-6135
22720,-4496,6012,27.45,-2625,21147,4667
17452,-5600,5748,27.54,695,-2839,-9370
17396,-5716,6016,27.49,-8913,1266,-2686
9092,-9916,8128,27.40,-20655,-1281,7069
29100,6224,-156,27.45,-5532,-1592,-32768
9832,-9028,-11832,27.49,-20583,-5059,18237
27224,2220,-496,27.40,-3839,5873,3689
15808,-6924,8324,27.40,-5579,4181,2862
20676,-4116,11768,27.49,-10311,7540,-5904
16844,2468,7192,27.40,-3824,3310,-8291
10796,4168,8780,27.40,10741,4927,-3922
12632,4912,4624,27.40,14694,-9321,-13344
9356,11228,3420,27.45,1917,-12719,-4439
5932,10152,-2016,27.45,2390,-11611,10713
14984,12864,-12180,27.45,-17,-15351,5209
12976,8740,-10904,27.45,4578,-17427,-3059
7156,3980,-14848,27.40,6547,-7521,6616
3580,3644,-11308,27.45,-4159,-4810,462
1472,8120,-12892,27.49,-3943,-1944,6259
2332,8816,-13984,27.49,-4248,2882,7881
-2728,700,-13724,27.49,-1405,3443,1834
4384,5848,-13724,27.49,202,909,2126
7664,8440,-12652,27.49,-1075,-118,4814
7532,6524,-13104,27.49,-2433,-2510,3088
6856,8200,-12792,27.49,3691,1867,-1204
6968,9388,-12380,27.59,2092,2101,-6223
8324,10156,-10404,27.59,4338,-14163,1944
-2804,3028,-14800,27.45,6841,3922,-3122
5420,3024,-10856,27.54,950,8461,-11716
8492,680,-10488,27.35,5450,12146,-10557
13184,-2608,-8468,27.45,2199,17434,-2067
21832,940,-6340,27.45,2752,13160,-3763
16856,1360,-2740,27.40,8130,5835,-261
13500,-4052,1212,27.45,8490,5986,-748
15064,2124,3756,27.45,4320,6238,2805
16540,-3216,5876,27.45,-6897,7275,628
18864,3000,6648,27.49,-6713,-2580,-1009
17020,1400,2344,27.45,-215,644,-13921
27156,-3640,8416,27.49,1343,-17877,5315
17788,-112,7016,27.45,32767,2370,-1087
14528,-5468,1484,27.45,32259,3076,4203
20008,-5160,1544,27.54,-32768,-15011,9346
15040,-4164,4052,27.54,18362,-12703,-1724
9780,-4420,1928,27.45,-6687,3835,6497
19364,-3056,-4160,27.45,-5275,16082,5949
22860,-6260,-6448,27.59,14384,-5448,1414
19204,-3016,-256,27.45,-12780,-16393,-2857
12664,-5228,1076,27.40,6061,-4617,-8
12496,-3992,-3048,27.54,-14532,8776,-1120
14096,-10016,-10544,27.54,6404,7725,-547
16856,-10396,-5080,27.45,3893,1425,3602
14840,-3416,1040,27.45,-1445,-354,2179
15972,-6172,-520,27.49,9490,998,-3492
15012,-8524,-756,27.45,-2009,591,-1696
16556,-5980,-48,27.54,2506,-766,607
13360,-6288,1880,27.45,5182,-427,-4046
16956,-2108,1836,27.40,5208,4434,-3219
16804,-7392,160,27.49,4196,1624,-236
15136,1928,5296,27.45,-15829,-1004,1963
15984,-7280,516,27.49,7437,-546,-886
15912,-2272,3572,27.45,-5181,-462,-1169
18548,-2864,3732,27.49,-6610,-2035,2031
14188,-300,2720,27.45,-10013,4580,-4470
16456,-4532,-1260,27.54,-3490,808,-1591
23628,1368,1868,27.40,-5757,-9226,-15164
9736,8132,1568,27.45,2058,2041,-5112
15792,27932,5728,27.49,-3921,-7199,4785
17664,18216,8268,27.49,-9259,-5586,2048
18812,4704,892,27.45,-26327,-4157,28226
13476,-6332,5424,27.49,25333,-1860,-4148
15856,-4304,9196,27.45,-3952,-1318,6383
20284,-5760,6976,27.49,-975,3249,1636
13660,-9968,988,27.49,-6130,-377,2046
12720,-8340,7480,27.49,-10519,-1224,10342
25492,13744,5244,27.49,-1513,-4706,-25599
15028,5200,-1788,27.59,-1203,-2403,-1343
21676,-180,3136,27.45,-3139,284,-4224
19968,4772,4984,27.54,-8203,4932,-15648
13300,3436,2628,27.64,66,-3609,-10841
9644,4680,4808,27.54,-1143,2879,-3517
9636,7668,424,27.49,-243,-3836,-3197
13884,14724,-300,27.54,4957,-10501,-6944
10968,11504,-2744,27.54,8136,-10187,2054
9612,7096,-6756,27.49,2739,-8881,10240
16228,8664,-11248,27.59,1391,-13014,14144
7132,1848,-13716,27.59,-1304,-10680,18268
3816,4136,-13276,27.49,-1446,-5636,16364
3380,612,-11900,27.59,-2027,2221,9290
12168,7292,-9272,27.45,-6276,6950,-9920
13632,3816,-15420,27.49,-3191,1928,7242
13072,7552,-11052,27.54,-6430,2003,-965
8664,-1116,-17060,27.49,12723,3213,16
4472,4204,-13100,27.54,641,1186,-2719
7496,5152,-12412,27.49,2492,2023,-5154
1804,4624,-12328,27.59,5733,-8755,3195
5284,568,-12524,27.59,7010,3650,-10069
6400,-716,-7640,27.49,146,6975,-11942
9904,1680,-4964,27.59,-6790,21658,-4040
24456,3108,-3120,27.45,6260,17111,9328
20616,-296,1820,27.45,14688,4098,7022
12432,-4020,5396,27.59,10567,-5745,1488
13416,-5412,4028,27.54,-77,2344,1349
16540,-5404,6776,27.49,-3874,9166,5621
21400,-5884,3640,27.49,1801,-3888,645
18392,-5540,3664,27.49,-1745,-11922,-7861
19500,-3136,9848,27.49,32767,-18142,6181
13184,-8676,2432,27.45,11023,-12357,-2812
14396,-8784,2060,27.54,24103,4553,-2421
21340,-10616,400,27.59,-23473,-20635,13691
13596,-5992,2304,27.49,-9322,-11264,394
9284,-5372,1232,27.54,7614,6184,786
20540,-8680,-584,27.49,19384,18996,-1651
17404,-10116,-4156,27.54,-10581,-278,-5551
17232,-8752,-1388,27.64,-13582,-5496,4998
18552,-5940,448,27.54,0,-15064,-13350
10908,-11244,-276,27.59,-4123,-600,4957
12940,-7272,260,27.59,-5096,19958,634
20684,-14504,-2304,27.49,19584,21934,-12995
14040,-8896,1208,27.45,-3273,-11574,6736
15520,-7244,2180,27.59,1689,-11140,3137
14232,-5916,1456,27.59,1021,-9297,-662
11604,-6212,1428,27.49,-877,3391,-7397
17372,-4672,-1260,27.59,4464,10586,-1486
16592,-3944,-1792,27.59,-11295,-1890,-1788
10288,-7148,4204,27.59,-4317,-1654,-4895
22444,-8160,688,27.64,-18253,-6402,1548
17808,-6120,-2892,27.54,-4232,-2642,-2064
14092,-6580,-2044,27.59,-2911,4188,2233
15464,-4580,676,27.54,-9129,7161,4723
14084,-3060,2788,27.49,4746,2375,2125
20456,-14092,-776,27.45,-3534,4500,-8722
5676,-17296,1624,27.54,-1781,4888,1487
19008,-6980,160,27.59,-4901,10101,475
21396,-6560,5892,27.68,-1116,-77,-4378
19000,-7696,6120,27.59,-910,-2583,1263
19364,-4336,6992,27.54,-9610,11962,-2785
11488,-8544,2144,27.59,-4571,2136,3854
14452,-6584,4760,27.49,4366,-998,-9688
15712,-1272,4212,27.59,5931,-10545,-10669
13044,-1144,1720,27.49,-2942,189,3924
17676,4,1248,27.54,-7092,528,-1811
20100,2996,12,27.49,-2871,-10775,-11799
15104,-956,-8068,27.68,-5703,-11977,7021
15720,3016,-9376,27.59,-5112,-13922,4802
7232,1144,-13328,27.59,-2653,-6911,9780
7904,288,-13532,27.59,-4012,-4771,10158
7036,1332,-13156,27.54,-5366,1354,3158
3920,3112,-12972,27.64,-3282,-4534,1257
6756,2940,-16212,27.64,435,-492,2018
5436,4880,-11332,27.59,263,-637,2795
2896,604,-13200,27.54,781,-12,4086
10736,6400,-15680,27.59,5631,-12037,-442
2436,-140,-14428,27.64,3415,3583,-2642
3260,8,-12180,27.64,-1419,3762,-9015
4768,-32,-8656,27.59,2458,9942,-3801
10928,-2484,-5228,27.49,6460,17490,3039
20788,-8236,2512,27.54,16736,20049,3152
20104,-6864,1108,27.54,8986,5161,4550
13912,-9404,7936,27.59,2717,-3939,5989
18424,-6388,8868,27.64,2536,4689,5268
19264,-9020,4108,27.59,-1921,-7022,-6010
21344,-3008,180,27.64,28235,5085,-5892
15840,-2960,6444,27.59,31126,-9768,-10171
13988,-6832,2188,27.59,11443,-3532,11131
22124,-5164,4216,27.64,-32768,887,-13588
9248,-3500,2844,27.59,22228,8538,6284
15572,-8996,2916,27.59,20155,15932,9189
17592,-7680,-3404,27.49,-32768,-9389,5378
12984,-2180,4076,27.68,8068,29598,-14126
22116,-4984,5360,27.59,26061,-2342,2578
15992,-4988,736,27.54,-12352,-6733,2513
15676,-8820,1840,27.59,-24191,7722,10673
11700,-2660,5544,27.64,10222,10527,-3107
16764,-8800,5296,27.59,10609,10532,-2129
23400,-9596,3424,27.64,2016,-1117,23070
32008,-6616,3568,27.59,-12193,-17966,17962
32767,6968,5744,27.68,7549,-32768,-14137
5264,-13400,15112,27.49,29573,-25588,-1395
3136,-8428,15736,27.59,-25804,31446,-3245
32767,-15444,2580,27.64,18975,32767,-8627
23856,-7440,7796,27.54,7134,25197,-20109
18484,-14784,-156,27.49,5189,-2794,-9426
32767,-6028,6608,27.54,-8682,-23922,32767
21324,-2244,5456,27.59,-2025,-21352,8422
10864,-1948,3220,27.54,-4255,-11819,-9178
14620,-9712,7072,27.64,11371,19350,-6004
17516,-15396,-468,27.68,-3001,20892,-17052
17144,1564,2748,27.54,-21487,8410,-11225
15472,-8348,3372,27.68,18683,-3467,-4523
18872,-7340,4764,27.59,10937,-8163,14354
18948,-5352,2776,27.49,7024,-13816,9435
20664,-2036,1480,27.64,-15284,-14292,6678
11816,-2472,2692,27.59,10610,-3772,-9650
19504,-10632,2740,27.59,11564,12806,-5683
22664,212,-6880,27.64,-32768,6351,-28024
27800,-17912,-6244,27.59,-28149,15622,-8312
11900,8572,2612,27.64,6852,-1675,6968
16144,4968,2104,27.49,957,1546,-329
10696,21888,11736,27.59,7188,11344,-12160
2840,12060,6672,27.68,-158,2500,-2403
9568,5668,8928,27.59,-4492,-11169,19529
7944,7628,5224,27.54,1442,4120,-2563
15972,13120,3044,27.54,-6003,-11481,2607
11928,15392,2068,27.68,1982,-3748,3924
22380,10108,2424,27.68,2805,-4456,20192
12576,-5600,344,27.68,-569,7102,-2706
20220,2212,-1164,27.64,1384,8108,12725
32767,7096,-10884,27.64,-7827,-26548,-56
11220,29872,32767,27.59,32767,-32768,-7928
12976,-7880,4964,27.68,2916,16896,8053
32767,2056,10660,27.59,25761,14395,-23658
16100,-17316,5904,27.59,-4320,-6373,13425
25720,-6832,8136,27.59,25359,12827,32767
17976,2892,6484,27.59,-25827,-17084,-8264
32767,1584,-8608,27.64,6695,-30943,-12653
9524,-8336,336,27.59,-1332,-32768,3347
5252,784,404,27.59,8287,4250,-11732
15672,-14508,5596,27.59,22740,14144,-20497
24820,-16980,10280,27.59,19939,11811,-20892
13728,-11552,4040,27.64,-14164,2455,-1970
16036,-6920,3568,27.59,-3357,-5354,7661
12844,-3240,6284,27.59,385,-9764,-27
16960,-7816,8104,27.73,11974,4595,-3402
16388,-7448,4856,27.64,-9197,2766,2253
14712,-4748,4588,27.59,-16055,170,1533
15728,-3380,6240,27.68,3278,7359,229
18152,-13744,4756,27.49,-4121,13112,-7499
13780,-10176,3292,27.59,-4941,-5456,959
12884,-6184,6848,27.64,-159,-7624,-733
10076,-8572,5400,27.64,4993,1752,-2378
21696,-4748,9428,27.59,3701,7696,7157
19468,-9196,-140,27.49,-9713,-13269,19683
17288,-1876,5372,27.64,-16448,-6524,-2364
12680,-9940,4024,27.59,23792,-7037,-8930
18892,-10388,4836,27.59,10468,11866,-8234
15588,-9820,3312,27.68,1566,13673,-12125
13676,-5116,3868,27.68,434,-5690,2678
15284,-7192,2604,27.64,6442,-10088,5648
15544,-3272,7500,27.68,-18351,-2377,-9812
15696,-10248,3452,27.68,26320,641,4685
17344,-2708,1140,27.54,-5549,-5023,1369
16180,-3464,3688,27.59,-16119,-13868,5486
17936,-3464,6856,27.68,-7066,27552,3950
14348,-2216,856,27.68,-11409,-11342,-9747
13720,-1924,3844,27.64,-26429,-29653,14746
13504,-8664,1348,27.59,6030,-4658,-9108
13012,-14020,716,27.68,4802,1304,-6446
21944,-3032,5936,27.68,-11699,1429,15006
20364,-6468,976,27.73,-8501,-17484,9216
12252,-2280,4644,27.54,-11069,-4617,-5890
16656,-6776,3508,27.64,18877,12696,-7169
26780,-15220,1236,27.68,-2535,27532,-22144
14364,3820,3596,27.68,-32768,6787,675
15756,-3320,564,27.59,12506,-11918,-9650
17072,-14216,3984,27.59,32767,-7209,32402
12796,-2644,2488,27.68,1137,7191,5994
19644,-7452,-1808,27.64,-3388,-1350,-12594
20268,-11496,5196,27.73,-12269,-19198,15677
13000,-3928,5992,27.68,-11227,-1178,6407
25680,-25684,2556,27.64,-32768,9528,-29345
23428,3268,19516,27.64,-32768,-32768,5251
9876,-404,4320,27.64,-15164,-14229,3842
14792,11512,-5416,27.59,-1780,-4202,25878
19308,23532,4772,27.54,22396,16990,-32768
25552,-2836,23012,27.54,32767,32767,17744
11644,3064,7180,27.49,5549,-198,-2708
13540,3220,-7628,27.64,-13045,-5333,-19337
10788,12408,100,27.73,-1149,-1332,3030
11192,12748,1360,27.59,-3175,471,-838
11244,13024,2200,27.64,-658,1984,-397
11944,11620,1708,27.68,160,-738,-788
11876,11984,1464,27.64,84,-563,-176
11000,12540,1356,27.64,122,-516,-725
11208,12444,1200,27.64,-385,-409,-673
10904,13008,1124,27.68,-485,422,2241
11596,10932,1160,27.73,-9133,-5616,401
5312,19612,7336,27.73,-6027,-30262,6957
13628,6648,15388,27.64,32767,4459,17253
19600,1540,-1556,27.64,32767,12089,-5475
21248,3444,704,27.68,-2726,-10833,-4608
15572,-9216,312,27.68,-9522,1749,-5681
17460,4196,-3364,27.59,-10374,12936,-3570
19076,8452,-1132,27.64,7454,1458,4146
18136,1488,3968,27.68,14369,-8198,12835
14736,-1272,2048,27.68,1657,6733,-96
17088,-988,-256,27.64,-3175,3433,-3759
22972,16716,7376,27.59,-32768,32767,17904
15580,-12040,-6600,27.68,11998,-17647,13900
15952,-6412,5784,27.54,-17848,-22709,8325
10860,-15312,-992,27.68,-5894,-9818,12959
11868,-6316,-6368,27.59,-18574,-4650,14021
3168,-9540,-12200,27.68,-748,-11771,2592
1452,-11060,-11184,27.64,6074,-5334,-681
